"","EVT_PHYS","PHYSCOUNT"
"1","Agricultural",3196275
"2","Conifer",2746048
"3","Conifer-Hardwood",315868
"4","Developed",3141505
"5","Developed-High Intensity",365046
"6","Developed-Low Intensity",1500283
"7","Developed-Medium Intensity",745243
"8","Developed-Roads",3336954
"9","Exotic Herbaceous",531783
"10","Exotic Tree-Shrub",30289
"11","Grassland",1
"12","Hardwood",4844972
"13","Open Water",12264372
"14","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",6659
"15","Riparian",2274354
"16","Shrubland",273
"17","Sparsely Vegetated",65462
